"","Brewery_id","Name.x","Beer_ID","ABV","IBU","Style","Ounces","Name.y","City","State","region"
"141",17,"Half Cycle IPA",1610,0.06,104,"American IPA",16,"Flat 12 Bierwerks","Indianapolis","IN","Midwest"
"142",18,"Cafe Leche",2623,0.058,20,"American Porter",16,"Tin Man Brewing Company","Evansville","IN","Midwest"
"143",18,"Damascene Apricot Sour",2622,0.052,12,"Fruit / Vegetable Beer",16,"Tin Man Brewing Company","Evansville","IN","Midwest"
"144",18,"Csar",2621,0.12,90,"Russian Imperial Stout",16,"Tin Man Brewing Company","Evansville","IN","Midwest"
"145",18,"Klingon Warnog Roggen Dunkel",1817,0.055,NA,"Roggenbier",16,"Tin Man Brewing Company","Evansville","IN","Midwest"
"146",18,"Overlord Imperial IPA",1449,0.085,115,"American Double / Imperial IPA",16,"Tin Man Brewing Company","Evansville","IN","Midwest"
"147",18,"Alloy",951,0.058,36,"American IPA",16,"Tin Man Brewing Company","Evansville","IN","Midwest"
"148",18,"Rivet Irish Red Ale",950,0.051,22,"Irish Red Ale",16,"Tin Man Brewing Company","Evansville","IN","Midwest"
"149",18,"3 Gear Robust Porter",949,0.052,50,"American Porter",16,"Tin Man Brewing Company","Evansville","IN","Midwest"
"150",18,"Circuit Bohemian Pilsner",948,0.045,35,"Czech Pilsener",16,"Tin Man Brewing Company","Evansville","IN","Midwest"
"151",19,"Saucy Intruder",2620,0.072,75,"Rye Beer",16,"Black Acre Brewing Co.","Indianapolis","IN","Midwest"
"152",20,"Insert Hop Reference",2619,0.058,NA,"American Pale Ale (APA)",16,"Brew Link Brewing","Plainfield","IN","Midwest"
"153",21,"Thai.p.a",2618,0.07,46,"American IPA",16,"Bare Hands Brewery","Granger","IN","Midwest"
"154",22,"Citra Faced",2617,0.055,64,"American Pale Wheat Ale",16,"Three Pints Brewing","Martinsville","IN","Midwest"
"155",22,"Pole Barn Stout",2616,0.055,31,"Oatmeal Stout",16,"Three Pints Brewing","Martinsville","IN","Midwest"
"156",22,"Pale",2615,0.054,37,"American Pale Ale (APA)",16,"Three Pints Brewing","Martinsville","IN","Midwest"
"157",22,"Yoshi's Nectar",2614,0.053,27,"California Common / Steam Beer",16,"Three Pints Brewing","Martinsville","IN","Midwest"
